time,agentname,agentamount
3.571312,H,0
3.571312,I,77
3.571312,R,42
3.571312,S,9733
3.577403,E,149
3.577403,H,0
3.577403,I,77
3.577403,R,42
3.577403,S,9732
3.584868,E,150
3.584868,H,0
3.584868,I,77
3.584868,R,42
3.584868,S,9731
3.588630,E,151
3.588630,H,0
3.588630,I,77
3.588630,R,42
3.588630,S,9730
3.594363,E,151
3.594363,H,0
3.594363,I,76
3.594363,R,43
3.594363,S,9730
3.603241,E,152
3.603241,H,0
3.603241,I,76
3.603241,R,43
3.603241,S,9729
3.613918,E,153
3.613918,H,0
3.613918,I,76
3.613918,R,43
3.613918,S,9728
3.614156,E,154
3.614156,H,0
3.614156,I,76
3.614156,R,43
3.614156,S,9727
3.618595,E,154
3.618595,H,0
3.618595,I,75
3.618595,R,44
3.618595,S,9727
3.637553,E,155
3.637553,H,0
3.637553,I,75
3.637553,R,44
3.637553,S,9726
3.651320,E,155
3.651320,H,0
3.651320,I,74
3.651320,R,45
3.651320,S,9726
3.654097,E,155
3.654097,H,0
3.654097,I,73
3.654097,R,46
3.654097,S,9726
3.657969,E,154
3.657969,H,0
3.657969,I,74
3.657969,R,46
3.657969,S,9726
3.660188,E,155
3.660188,H,0
3.660188,I,74
3.660188,R,46
3.660188,S,9725
3.678334,E,156
3.678334,H,0
3.678334,I,74
3.678334,R,46
3.678334,S,9724
3.681041,E,155
3.681041,H,0
3.681041,I,75
3.681041,R,46
3.681041,S,9724
3.690757,E,156
3.690757,H,0
3.690757,I,75
3.690757,R,46
3.690757,S,9723
3.700564,E,157
3.700564,H,0
3.700564,I,75
3.700564,R,46
3.700564,S,9722
3.724219,E,158
3.724219,H,0
3.724219,I,75
3.724219,R,46
3.724219,S,9721
3.724908,E,159
3.724908,H,0
3.724908,I,75
3.724908,R,46
3.724908,S,9720
3.737930,E,160
3.737930,H,0
3.737930,I,75
3.737930,R,46
3.737930,S,9719
3.741824,E,159
3.741824,H,0
3.741824,I,76
3.741824,R,46
3.741824,S,9719
3.751205,E,158
3.751205,H,0
3.751205,I,77
3.751205,R,46
3.751205,S,9719
3.752754,E,158
3.752754,H,0
3.752754,I,76
3.752754,R,47
3.752754,S,9719
3.768272,E,157
3.768272,H,0
3.768272,I,77
3.768272,R,47
3.768272,S,9719
3.769411,E,157
3.769411,H,0
3.769411,I,76
3.769411,R,48
3.769411,S,9719
3.770262,E,158
3.770262,H,0
3.770262,I,76
3.770262,R,48
3.770262,S,9718
3.783913,E,159
3.783913,H,0
3.783913,I,76
3.783913,R,48
3.783913,S,9717
3.818461,E,159
3.818461,H,0
3.818461,I,75
3.818461,R,49
3.818461,S,9717
3.830832,E,158
